branch_name,description,subjects,skills_required,career_paths
Bio Medical Engineering,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Bio Technology,"Biological systems, biotech processes, healthcare and industrial applications.","Biology, chemistry, bioprocessing, genetics","Biology, lab work, research mindset","Biotech engineer, lab analyst, research associate"
Chemical Engineering,"Chemical processes, materials, industrial production, and plant operations.","Chemistry, process design, thermodynamics, safety","Chemistry, math, process thinking","Process engineer, chemical engineer, plant engineer"
Civil Engineering,"Buildings, infrastructure, construction, planning, and environmental systems.","Structures, surveying, construction, geotechnical engineering","Drawing, field work, physics, planning","Civil engineer, site engineer, structural engineer"
Civil Engineering (Structural Engineering),"Buildings, infrastructure, construction, planning, and environmental systems.","Structures, surveying, construction, geotechnical engineering","Drawing, field work, physics, planning","Civil engineer, site engineer, structural engineer"
Civil Engineering and Planning,"Buildings, infrastructure, construction, planning, and environmental systems.","Structures, surveying, construction, geotechnical engineering","Drawing, field work, physics, planning","Civil engineer, site engineer, structural engineer"
Civil and Environmental Engineering,"Buildings, infrastructure, construction, planning, and environmental systems.","Structures, surveying, construction, geotechnical engineering","Drawing, field work, physics, planning","Civil engineer, site engineer, structural engineer"
Civil and infrastructure Engineering,"Buildings, infrastructure, construction, planning, and environmental systems.","Structures, surveying, construction, geotechnical engineering","Drawing, field work, physics, planning","Civil engineer, site engineer, structural engineer"
Computer Engineering,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Engineering (Regional Language),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Engineering (Software Engineering),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Business Systems,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Design,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering (Artificial Intelligence and Data Science),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering (Artificial Intelligence),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering (Cyber Security),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering (IoT),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering(Artificial Intelligence and Machine Learning),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering(Cyber Security),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Engineering(Data Science),"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Information Technology,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Science and Technology,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Computer Technology,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Cyber Security,"Security of computer systems, networks, applications, and digital infrastructure.","Networks, cryptography, ethical hacking, system security","Coding, logic, attention to detail","Cybersecurity analyst, security engineer, SOC analyst"
Data Engineering,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Data Science,"Data analysis, statistics, machine learning, and decision-making using data.","Statistics, Python, databases, visualization, machine learning","Math, coding, analytical thinking","Data analyst, data scientist, BI analyst, ML engineer"
Dyestuff Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Electrical Engg [Electrical and Power],"Power systems, electrical machines, electronics, and energy infrastructure.","Power systems, machines, circuits, control systems","Math, physics, electrical systems","Electrical engineer, power engineer, maintenance engineer"
Electrical Engg[Electronics and Power],"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electrical Engineering,"Power systems, electrical machines, electronics, and energy infrastructure.","Power systems, machines, circuits, control systems","Math, physics, electrical systems","Electrical engineer, power engineer, maintenance engineer"
Electrical and Computer,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Electrical and Computer Engineering,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Electrical and ComputerEngineering,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Electrical and Electronics Engineering,"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
"Electrical, Electronics and Power","Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electronics Engineering,"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electronics Engineering ( VLSI Design and Technology),"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electronics and Biomedical Engineering,"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electronics and Communication (Advanced Communication Technology),"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electronics and Communication Engineering,"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electronics and Communication(Advanced Communication Technology),"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Electronics and Computer Engineering,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Electronics and Computer Science,"Software, systems, programming, databases, networks, and computing fundamentals.","Programming, data structures, databases, operating systems, networks","Coding, logic, math, problem solving","Software developer, data analyst, cloud engineer, cybersecurity analyst"
Electronics and Telecommunication Engg,"Electronic circuits, communication systems, embedded systems, and signal processing.","Circuits, signals, communication, embedded systems","Electronics, math, hardware curiosity","Electronics engineer, embedded engineer, telecom engineer"
Fashion Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Fibres and Textile Processing Technology,"Textile manufacturing, fibers, fabrics, processing, and apparel technologies.","Fibers, textile processing, quality, manufacturing","Chemistry, production, design sense","Textile engineer, production manager, quality engineer"
Fire Engineering,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Food Engineering,"Food processing, preservation, safety, manufacturing, and food product technology.","Food chemistry, processing, safety, quality control","Chemistry, biology, process thinking","Food technologist, quality analyst, process engineer"
Food Engineering and Technology,"Food processing, preservation, safety, manufacturing, and food product technology.","Food chemistry, processing, safety, quality control","Chemistry, biology, process thinking","Food technologist, quality analyst, process engineer"
Food Technology,"Food processing, preservation, safety, manufacturing, and food product technology.","Food chemistry, processing, safety, quality control","Chemistry, biology, process thinking","Food technologist, quality analyst, process engineer"
Food Technology And Management,"Food processing, preservation, safety, manufacturing, and food product technology.","Food chemistry, processing, safety, quality control","Chemistry, biology, process thinking","Food technologist, quality analyst, process engineer"
Industrial IoT,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Information Technology,"Computing infrastructure, software systems, databases, and IT services.","Programming, databases, web technologies, networks","Coding, troubleshooting, communication","Software developer, IT analyst, system administrator"
Instrumentation Engineering,"Measurement, sensors, control systems, and industrial process automation.","Sensors, controls, measurement, electronics","Electronics, precision, systems thinking","Instrumentation engineer, controls engineer"
Instrumentation and Control Engineering,"Measurement, sensors, control systems, and industrial process automation.","Sensors, controls, measurement, electronics","Electronics, precision, systems thinking","Instrumentation engineer, controls engineer"
Internet of Things (IoT),Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Logistics,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Man Made Textile Technology,"Textile manufacturing, fibers, fabrics, processing, and apparel technologies.","Fibers, textile processing, quality, manufacturing","Chemistry, production, design sense","Textile engineer, production manager, quality engineer"
Manufacturing Science and Engineering,"Manufacturing processes, industrial systems, tooling, and production optimization.","Manufacturing, CAD/CAM, quality, industrial processes","Mechanical aptitude, planning, shop-floor interest","Manufacturing engineer, production engineer"
Mechanical & Automation Engineering,"Machines, manufacturing, design, thermal systems, and production processes.","Mechanics, thermodynamics, CAD, manufacturing","Design, physics, practical problem solving","Mechanical engineer, design engineer, production engineer"
Mechanical Engineering,"Machines, manufacturing, design, thermal systems, and production processes.","Mechanics, thermodynamics, CAD, manufacturing","Design, physics, practical problem solving","Mechanical engineer, design engineer, production engineer"
Mechanical Engineering Automobile,"Machines, manufacturing, design, thermal systems, and production processes.","Mechanics, thermodynamics, CAD, manufacturing","Design, physics, practical problem solving","Mechanical engineer, design engineer, production engineer"
Mechanical Engineering[Sandwich],"Machines, manufacturing, design, thermal systems, and production processes.","Mechanics, thermodynamics, CAD, manufacturing","Design, physics, practical problem solving","Mechanical engineer, design engineer, production engineer"
Mechanical and Automation Engineering,"Machines, manufacturing, design, thermal systems, and production processes.","Mechanics, thermodynamics, CAD, manufacturing","Design, physics, practical problem solving","Mechanical engineer, design engineer, production engineer"
Mechanical and Mechatronics Engineering (Additive Manufacturing),"Machines, manufacturing, design, thermal systems, and production processes.","Mechanics, thermodynamics, CAD, manufacturing","Design, physics, practical problem solving","Mechanical engineer, design engineer, production engineer"
Mechatronics Engineering,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Metallurgy and Material Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Mining Engineering,"Mining operations, mineral extraction, safety, and earth resource engineering.","Geology, mining methods, safety, machinery","Field work, geology, operations","Mining engineer, safety engineer"
Oil Fats and Waxes Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Oil Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Oil and Paints Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
"Oil,Oleochemicals and Surfactants Technology","Chemical processes, materials, industrial production, and plant operations.","Chemistry, process design, thermodynamics, safety","Chemistry, math, process thinking","Process engineer, chemical engineer, plant engineer"
Paints Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Paper and Pulp Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Petro Chemical Engineering,"Chemical processes, materials, industrial production, and plant operations.","Chemistry, process design, thermodynamics, safety","Chemistry, math, process thinking","Process engineer, chemical engineer, plant engineer"
Petro Chemical Technology,"Chemical processes, materials, industrial production, and plant operations.","Chemistry, process design, thermodynamics, safety","Chemistry, math, process thinking","Process engineer, chemical engineer, plant engineer"
Pharmaceutical and Fine Chemical Technology,"Chemical processes, materials, industrial production, and plant operations.","Chemistry, process design, thermodynamics, safety","Chemistry, math, process thinking","Process engineer, chemical engineer, plant engineer"
Pharmaceuticals Chemistry and Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Plastic Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Plastic and Polymer Engineering,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Plastic and Polymer Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Polymer Engineering and Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Printing Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Printing and Packing Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Production Engineering,"Manufacturing systems, production planning, industrial processes, and operations.","Manufacturing, operations, quality, industrial engineering","Planning, mechanical aptitude, optimization","Production engineer, operations engineer, quality engineer"
Production Engineering[Sandwich],"Manufacturing systems, production planning, industrial processes, and operations.","Manufacturing, operations, quality, industrial engineering","Planning, mechanical aptitude, optimization","Production engineer, operations engineer, quality engineer"
Robotics,"Automation, robots, control systems, sensors, and intelligent machines.","Control systems, programming, sensors, mechanics","Coding, electronics, mechanical design","Robotics engineer, automation engineer, controls engineer"
Robotics and Artificial Intelligence,"AI systems, machine learning, data-driven automation, and intelligent applications.","Python, machine learning, statistics, data science, AI models","Coding, math, statistics, curiosity","AI engineer, ML engineer, data scientist, automation engineer"
Robotics and Automation,"Automation, robots, control systems, sensors, and intelligent machines.","Control systems, programming, sensors, mechanics","Coding, electronics, mechanical design","Robotics engineer, automation engineer, controls engineer"
Safety and Fire Engineering,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Structural Engineering,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Surface Coating Technology,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
Technical Textiles,"Textile manufacturing, fibers, fabrics, processing, and apparel technologies.","Fibers, textile processing, quality, manufacturing","Chemistry, production, design sense","Textile engineer, production manager, quality engineer"
Textile Chemistry,"Textile manufacturing, fibers, fabrics, processing, and apparel technologies.","Fibers, textile processing, quality, manufacturing","Chemistry, production, design sense","Textile engineer, production manager, quality engineer"
Textile Engineering / Technology,"Textile manufacturing, fibers, fabrics, processing, and apparel technologies.","Fibers, textile processing, quality, manufacturing","Chemistry, production, design sense","Textile engineer, production manager, quality engineer"
Textile Plant Engineering,"Textile manufacturing, fibers, fabrics, processing, and apparel technologies.","Fibers, textile processing, quality, manufacturing","Chemistry, production, design sense","Textile engineer, production manager, quality engineer"
Textile Technology,"Textile manufacturing, fibers, fabrics, processing, and apparel technologies.","Fibers, textile processing, quality, manufacturing","Chemistry, production, design sense","Textile engineer, production manager, quality engineer"
VLSI,Specialized engineering program with domain-specific technical applications.,"Core engineering science, applied technology, domain-specific laboratories","Problem solving, math, technical curiosity","Graduate engineer, operations engineer, technical analyst"
