branch_name,what_you_study,who_should_choose,career_paths,average_salary_range,future_scope
Computer Science and Engineering (Artificial Intelligence and Data Science),"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Engineering (Artificial Intelligence),"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Engineering (Cyber Security),"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Engineering (IoT),"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Engineering(Artificial Intelligence and Machine Learning),"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Engineering(Cyber Security),"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Engineering(Data Science),"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Information Technology,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Science and Technology,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Computer Technology,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Cyber Security,"Networks, cryptography, ethical hacking, system security","Students interested in coding, logic, attention to detail.","Cybersecurity analyst, security engineer, SOC analyst","Varies by college, skills, internships, and market demand","Security of computer systems, networks, applications, and digital infrastructure."
Data Engineering,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Data Science,"Statistics, Python, databases, visualization, machine learning","Students interested in math, coding, analytical thinking.","Data analyst, data scientist, BI analyst, ML engineer","Varies by college, skills, internships, and market demand","Data analysis, statistics, machine learning, and decision-making using data."
Dyestuff Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Electrical Engg [Electrical and Power],"Power systems, machines, circuits, control systems","Students interested in math, physics, electrical systems.","Electrical engineer, power engineer, maintenance engineer","Varies by college, skills, internships, and market demand","Power systems, electrical machines, electronics, and energy infrastructure."
Electrical Engg[Electronics and Power],"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electrical Engineering,"Power systems, machines, circuits, control systems","Students interested in math, physics, electrical systems.","Electrical engineer, power engineer, maintenance engineer","Varies by college, skills, internships, and market demand","Power systems, electrical machines, electronics, and energy infrastructure."
Electrical and Computer,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Electrical and Computer Engineering,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Electrical and ComputerEngineering,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Electrical and Electronics Engineering,"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
"Electrical, Electronics and Power","Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electronics Engineering,"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electronics Engineering ( VLSI Design and Technology),"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electronics and Biomedical Engineering,"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electronics and Communication (Advanced Communication Technology),"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electronics and Communication Engineering,"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electronics and Communication(Advanced Communication Technology),"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Electronics and Computer Engineering,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Electronics and Computer Science,"Programming, data structures, databases, operating systems, networks","Students interested in coding, logic, math, problem solving.","Software developer, data analyst, cloud engineer, cybersecurity analyst","Varies by college, skills, internships, and market demand","Software, systems, programming, databases, networks, and computing fundamentals."
Electronics and Telecommunication Engg,"Circuits, signals, communication, embedded systems","Students interested in electronics, math, hardware curiosity.","Electronics engineer, embedded engineer, telecom engineer","Varies by college, skills, internships, and market demand","Electronic circuits, communication systems, embedded systems, and signal processing."
Fashion Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Fibres and Textile Processing Technology,"Fibers, textile processing, quality, manufacturing","Students interested in chemistry, production, design sense.","Textile engineer, production manager, quality engineer","Varies by college, skills, internships, and market demand","Textile manufacturing, fibers, fabrics, processing, and apparel technologies."
Fire Engineering,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Food Engineering,"Food chemistry, processing, safety, quality control","Students interested in chemistry, biology, process thinking.","Food technologist, quality analyst, process engineer","Varies by college, skills, internships, and market demand","Food processing, preservation, safety, manufacturing, and food product technology."
Food Engineering and Technology,"Food chemistry, processing, safety, quality control","Students interested in chemistry, biology, process thinking.","Food technologist, quality analyst, process engineer","Varies by college, skills, internships, and market demand","Food processing, preservation, safety, manufacturing, and food product technology."
Food Technology,"Food chemistry, processing, safety, quality control","Students interested in chemistry, biology, process thinking.","Food technologist, quality analyst, process engineer","Varies by college, skills, internships, and market demand","Food processing, preservation, safety, manufacturing, and food product technology."
Food Technology And Management,"Food chemistry, processing, safety, quality control","Students interested in chemistry, biology, process thinking.","Food technologist, quality analyst, process engineer","Varies by college, skills, internships, and market demand","Food processing, preservation, safety, manufacturing, and food product technology."
Industrial IoT,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Information Technology,"Programming, databases, web technologies, networks","Students interested in coding, troubleshooting, communication.","Software developer, IT analyst, system administrator","Varies by college, skills, internships, and market demand","Computing infrastructure, software systems, databases, and IT services."
Instrumentation Engineering,"Sensors, controls, measurement, electronics","Students interested in electronics, precision, systems thinking.","Instrumentation engineer, controls engineer","Varies by college, skills, internships, and market demand","Measurement, sensors, control systems, and industrial process automation."
Instrumentation and Control Engineering,"Sensors, controls, measurement, electronics","Students interested in electronics, precision, systems thinking.","Instrumentation engineer, controls engineer","Varies by college, skills, internships, and market demand","Measurement, sensors, control systems, and industrial process automation."
Internet of Things (IoT),"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Logistics,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Man Made Textile Technology,"Fibers, textile processing, quality, manufacturing","Students interested in chemistry, production, design sense.","Textile engineer, production manager, quality engineer","Varies by college, skills, internships, and market demand","Textile manufacturing, fibers, fabrics, processing, and apparel technologies."
Manufacturing Science and Engineering,"Manufacturing, CAD/CAM, quality, industrial processes","Students interested in mechanical aptitude, planning, shop-floor interest.","Manufacturing engineer, production engineer","Varies by college, skills, internships, and market demand","Manufacturing processes, industrial systems, tooling, and production optimization."
Mechanical & Automation Engineering,"Mechanics, thermodynamics, CAD, manufacturing","Students interested in design, physics, practical problem solving.","Mechanical engineer, design engineer, production engineer","Varies by college, skills, internships, and market demand","Machines, manufacturing, design, thermal systems, and production processes."
Mechanical Engineering,"Mechanics, thermodynamics, CAD, manufacturing","Students interested in design, physics, practical problem solving.","Mechanical engineer, design engineer, production engineer","Varies by college, skills, internships, and market demand","Machines, manufacturing, design, thermal systems, and production processes."
Mechanical Engineering Automobile,"Mechanics, thermodynamics, CAD, manufacturing","Students interested in design, physics, practical problem solving.","Mechanical engineer, design engineer, production engineer","Varies by college, skills, internships, and market demand","Machines, manufacturing, design, thermal systems, and production processes."
Mechanical Engineering[Sandwich],"Mechanics, thermodynamics, CAD, manufacturing","Students interested in design, physics, practical problem solving.","Mechanical engineer, design engineer, production engineer","Varies by college, skills, internships, and market demand","Machines, manufacturing, design, thermal systems, and production processes."
Mechanical and Automation Engineering,"Mechanics, thermodynamics, CAD, manufacturing","Students interested in design, physics, practical problem solving.","Mechanical engineer, design engineer, production engineer","Varies by college, skills, internships, and market demand","Machines, manufacturing, design, thermal systems, and production processes."
Mechanical and Mechatronics Engineering (Additive Manufacturing),"Mechanics, thermodynamics, CAD, manufacturing","Students interested in design, physics, practical problem solving.","Mechanical engineer, design engineer, production engineer","Varies by college, skills, internships, and market demand","Machines, manufacturing, design, thermal systems, and production processes."
Mechatronics Engineering,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Metallurgy and Material Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Mining Engineering,"Geology, mining methods, safety, machinery","Students interested in field work, geology, operations.","Mining engineer, safety engineer","Varies by college, skills, internships, and market demand","Mining operations, mineral extraction, safety, and earth resource engineering."
Oil Fats and Waxes Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Oil Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Oil and Paints Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
"Oil,Oleochemicals and Surfactants Technology","Chemistry, process design, thermodynamics, safety","Students interested in chemistry, math, process thinking.","Process engineer, chemical engineer, plant engineer","Varies by college, skills, internships, and market demand","Chemical processes, materials, industrial production, and plant operations."
Paints Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Paper and Pulp Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Petro Chemical Engineering,"Chemistry, process design, thermodynamics, safety","Students interested in chemistry, math, process thinking.","Process engineer, chemical engineer, plant engineer","Varies by college, skills, internships, and market demand","Chemical processes, materials, industrial production, and plant operations."
Petro Chemical Technology,"Chemistry, process design, thermodynamics, safety","Students interested in chemistry, math, process thinking.","Process engineer, chemical engineer, plant engineer","Varies by college, skills, internships, and market demand","Chemical processes, materials, industrial production, and plant operations."
Pharmaceutical and Fine Chemical Technology,"Chemistry, process design, thermodynamics, safety","Students interested in chemistry, math, process thinking.","Process engineer, chemical engineer, plant engineer","Varies by college, skills, internships, and market demand","Chemical processes, materials, industrial production, and plant operations."
Pharmaceuticals Chemistry and Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Plastic Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Plastic and Polymer Engineering,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Plastic and Polymer Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Polymer Engineering and Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Printing Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Printing and Packing Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Production Engineering,"Manufacturing, operations, quality, industrial engineering","Students interested in planning, mechanical aptitude, optimization.","Production engineer, operations engineer, quality engineer","Varies by college, skills, internships, and market demand","Manufacturing systems, production planning, industrial processes, and operations."
Production Engineering[Sandwich],"Manufacturing, operations, quality, industrial engineering","Students interested in planning, mechanical aptitude, optimization.","Production engineer, operations engineer, quality engineer","Varies by college, skills, internships, and market demand","Manufacturing systems, production planning, industrial processes, and operations."
Robotics,"Control systems, programming, sensors, mechanics","Students interested in coding, electronics, mechanical design.","Robotics engineer, automation engineer, controls engineer","Varies by college, skills, internships, and market demand","Automation, robots, control systems, sensors, and intelligent machines."
Robotics and Artificial Intelligence,"Python, machine learning, statistics, data science, AI models","Students interested in coding, math, statistics, curiosity.","AI engineer, ML engineer, data scientist, automation engineer","Varies by college, skills, internships, and market demand","AI systems, machine learning, data-driven automation, and intelligent applications."
Robotics and Automation,"Control systems, programming, sensors, mechanics","Students interested in coding, electronics, mechanical design.","Robotics engineer, automation engineer, controls engineer","Varies by college, skills, internships, and market demand","Automation, robots, control systems, sensors, and intelligent machines."
Safety and Fire Engineering,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Structural Engineering,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Surface Coating Technology,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
Technical Textiles,"Fibers, textile processing, quality, manufacturing","Students interested in chemistry, production, design sense.","Textile engineer, production manager, quality engineer","Varies by college, skills, internships, and market demand","Textile manufacturing, fibers, fabrics, processing, and apparel technologies."
Textile Chemistry,"Fibers, textile processing, quality, manufacturing","Students interested in chemistry, production, design sense.","Textile engineer, production manager, quality engineer","Varies by college, skills, internships, and market demand","Textile manufacturing, fibers, fabrics, processing, and apparel technologies."
Textile Engineering / Technology,"Fibers, textile processing, quality, manufacturing","Students interested in chemistry, production, design sense.","Textile engineer, production manager, quality engineer","Varies by college, skills, internships, and market demand","Textile manufacturing, fibers, fabrics, processing, and apparel technologies."
Textile Plant Engineering,"Fibers, textile processing, quality, manufacturing","Students interested in chemistry, production, design sense.","Textile engineer, production manager, quality engineer","Varies by college, skills, internships, and market demand","Textile manufacturing, fibers, fabrics, processing, and apparel technologies."
Textile Technology,"Fibers, textile processing, quality, manufacturing","Students interested in chemistry, production, design sense.","Textile engineer, production manager, quality engineer","Varies by college, skills, internships, and market demand","Textile manufacturing, fibers, fabrics, processing, and apparel technologies."
VLSI,"Core engineering science, applied technology, domain-specific laboratories","Students interested in problem solving, math, technical curiosity.","Graduate engineer, operations engineer, technical analyst","Varies by college, skills, internships, and market demand",Specialized engineering program with domain-specific technical applications.
